##Databases: PANTHER, KEGG PATHWAY, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Photosynthesis	KEGG PATHWAY	ath00195	35	77	6.32851953056e-17	1.91754141776e-14	842386|837178|840021|828996|838622|826551|817606|840149|829359|837358|843099|836789|836525|820859|839918|826892|844245|825866|843942|838591|841653|824246|842016|827877|827996|827146|838400|816545|817630|821143|836751|825797|839449|828183|841033	http://www.genome.jp/kegg-bin/show_pathway?ath00195/ath:AT1G31330%09red/ath:AT1G20340%09red/ath:AT3G50820%09red/ath:AT3G16140%09red/ath:AT1G08380%09red/ath:AT5G66190%09red/ath:AT1G60950%09red/ath:AT4G02770%09red/ath:AT1G55670%09red/ath:AT1G32550%09red/ath:AT3G01440%09red/ath:AT1G79040%09red/ath:AT4G04640%09red/ath:AT4G03280%09red/ath:AT2G20260%09red/ath:AT4G05180%09red/ath:AT4G32260%09red/ath:AT1G06680%09red/ath:AT1G52230%09red/ath:AT4G28750%09red/ath:AT4G12800%09red/ath:AT1G03130%09red/ath:AT4G14890%09red/ath:AT1G03600%09red/ath:AT1G44575%09red/ath:AT5G66570%09red/ath:AT5G64040%09red/ath:AT1G76100%09red/ath:AT2G30570%09red/ath:AT1G67740%09red/ath:AT4G09650%09red/ath:AT1G20020%09red/ath:AT2G30790%09red/ath:AT4G21280%09red/ath:AT1G30380%09red
Photosynthesis - antenna proteins	KEGG PATHWAY	ath00196	17	22	1.48381987675e-11	2.24798711327e-09	841099|843990|842446|824654|826626|825320|820043|838498|835515|822391|815055|839870|830325|838151|823901|839869|815058	http://www.genome.jp/kegg-bin/show_pathway?ath00196/ath:AT1G29910%09red/ath:AT3G08940%09red/ath:AT5G54270%09red/ath:AT3G27690%09red/ath:AT1G19150%09red/ath:AT3G61470%09red/ath:AT2G05070%09red/ath:AT1G15820%09red/ath:AT1G45474%09red/ath:AT3G54890%09red/ath:AT1G29920%09red/ath:AT1G76570%09red/ath:AT4G10340%09red/ath:AT3G47470%09red/ath:AT5G01530%09red/ath:AT1G61520%09red/ath:AT2G05100%09red
oxygenic photosynthesis	BioCyc	PHOTOALL-PWY	14	42	1.78270358167e-05	0.00146278318977	837848|828758|820461|833828|824572|825414|836751|830052|816672|838591|828183|840098|827996|827146	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PHOTOALL-PWY
Metabolic pathways	KEGG PATHWAY	ath01100	160	1861	2.0046958821e-05	0.00146278318977	821143|835567|839009|828996|818860|842700|833830|837509|842478|839870|840067|822590|817485|824557|836789|831500|816672|836181|2746218|841029|830302|831255|815261|821333|844245|836838|814779|826892|832042|835220|841367|816545|819219|828665|836751|838468|842961|829413|832873|821418|817847|830343|824572|817626|826551|824678|836609|830724|821499|829359|830457|820461|836525|824861|816553|843099|834012|827575|830325|825866|817481|826855|828374|834883|823899|837725|825516|826626|819728|839449|835806|827655|825450|827991|827996|838400|831207|819337|818566|817630|815055|833471|838151|835334|815058|836625|840021|820043|843835|834835|817606|829232|834633|841088|827640|828758|839932|836400|833535|835168|822391|840098|832497|839297|843129|838591|841653|830052|817195|835945|830056|822232|827877|835515|819553|827419|831587|822167|829617|830118|820665|823850|828183|844094|837848|837178|830881|817589|827580|837777|833559|816697|839660|818212|820859|839918|816753|830368|816756|842805|833828|820339|820722|826956|824246|842016|817479|839869|830372|831568|821206|844194|825797|818389|821482|843810|842814|840895|829886|841033	http://www.genome.jp/kegg-bin/show_pathway?ath01100/ath:AT2G21330%09red/ath:AT3G16140%09red/ath:AT4G28750%09red/ath:AT5G38430%09red/ath:AT1G61810%09red/ath:AT2G29300%09red/ath:AT2G06925%09red/ath:AT1G55670%09red/ath:AT1G31800%09red/ath:AT2G22230%09red/ath:AT1G66430%09red/ath:AT4G31050%09red/ath:AT5G10170%09red/ath:AT5G60600%09red/ath:AT5G66190%09red/ath:AT5G16390%09red/ath:AT5G35170%09red/ath:AT4G34650%09red/ath:AT1G06680%09red/ath:AT4G32260%09red/ath:AT1G29910%09red/ath:AT1G45191%09red/ath:AT4G17090%09red/ath:AT4G12800%09red/ath:AT5G04230%09red/ath:AT1G64970%09red/ath:AT4G12430%09red/ath:AT5G08280%09red/ath:AT3G11670%09red/ath:AT5G64860%09red/ath:AT5G57030%09red/ath:AT5G48300%09red/ath:AT5G47840%09red/ath:AT2G42600%09red/ath:AT2G22190%09red/ath:AT2G30790%09red/ath:AT4G32770%09red/ath:AT1G30380%09red/ath:AT1G11790%09red/ath:AT2G39800%09red/ath:AT2G30390%09red/ath:AT5G17230%09red/ath:AT1G09795%09red/ath:AT2G29320%09red/ath:AT5G40150%09red/ath:AT2G05100%09red/ath:AT4G01690%09red/ath:AT5G05730%09red/ath:AT4G13260%09red/ath:AT2G46110%09red/ath:AT3G18080%09red/ath:AT4G10340%09red/ath:AT3G05620%09red/ath:AT2G20340%09red/ath:AT1G03630%09red/ath:AT4G05180%09red/ath:AT5G65010%09red/ath:AT5G04885%09red/ath:AT3G26290%09red/ath:AT5G67030%09red/ath:AT1G03130%09red/ath:AT3G27690%09red/ath:AT3G02870%09red/ath:AT4G04640%09red/ath:AT5G66005%09red/ath:AT5G64040%09red/ath:AT1G77590%09red/ath:AT4G39010%09red/ath:AT3G14420%09red/ath:AT2G30570%09red/ath:AT1G68010%09red/ath:AT1G12900%09red/ath:AT5G45930%09red/ath:AT4G19170%09red/ath:AT1G32060%09red/ath:AT3G19620%09red/ath:AT5G52570%09red/ath:AT1G01610%09red/ath:AT1G65060%09red/ath:AT5G04660%09red/ath:AT3G53900%09red/ath:AT5G54270%09red/ath:AT1G44446%09red/ath:AT5G54770%09red/ath:AT4G26520%09red/ath:AT2G26540%09red/ath:AT3G62750%09red/ath:AT4G02770%09red/ath:AT2G47240%09red/ath:AT1G74710%09red/ath:AT4G25600%09red/ath:AT3G01440%09red/ath:AT3G54050%09red/ath:AT5G50950%09red/ath:AT3G63410%09red/ath:AT5G38410%09red/ath:AT4G22756%09red/ath:AT4G03280%09red/ath:AT5G58330%09red/ath:AT4G19020%09red/ath:AT4G18480%09red/ath:AT3G12780%09red/ath:AT1G49430%09red/ath:AT3G19480%09red/ath:AT3G14930%09red/ath:AT3G25760%09red/ath:AT3G47450%09red/ath:AT5G24300%09red/ath:AT1G44575%09red/ath:AT3G46970%09red/ath:AT5G66570%09red/ath:AT1G67740%09red/ath:AT4G09650%09red/ath:AT5G13630%09red/ath:AT1G20020%09red/ath:AT4G21280%09red/ath:AT3G56940%09red/ath:AT3G03980%09red/ath:AT2G21590%09red/ath:AT5G35630%09red/ath:AT5G19220%09red/ath:AT2G30750%09red/ath:AT5G14060%09red/ath:AT1G31330%09red/ath:AT1G15820%09red/ath:AT5G28030%09red/ath:AT1G29920%09red/ath:AT5G51460%09red/ath:AT1G42970%09red/ath:AT3G18850%09red/ath:AT2G29360%09red/ath:AT5G35790%09red/ath:AT5G62790%09red/ath:AT1G27680%09red/ath:AT1G52230%09red/ath:AT2G20260%09red/ath:AT1G63970%09red/ath:AT2G38110%09red/ath:AT1G12240%09red/ath:AT3G08940%09red/ath:AT5G17050%09red/ath:AT2G05070%09red/ath:AT1G18870%09red/ath:AT1G79040%09red/ath:AT1G03600%09red/ath:AT3G50820%09red/ath:AT2G32860%09red/ath:AT3G29320%09red/ath:AT4G18440%09red/ath:AT4G38970%09red/ath:AT1G74960%09red/ath:AT4G37310%09red/ath:AT4G39640%09red/ath:AT2G02500%09red/ath:AT1G30520%09red/ath:AT5G01530%09red/ath:AT3G55120%09red/ath:AT2G36390%09red/ath:AT1G78580%09red/ath:AT5G04900%09red
Porphyrin and chlorophyll metabolism	KEGG PATHWAY	ath00860	13	45	2.41383364648e-05	0.00146278318977	830372|831207|824861|839009|820722|817589|827580|817195|841029|829854|830724|827991|834633	http://www.genome.jp/kegg-bin/show_pathway?ath00860/ath:AT1G44446%09red/ath:AT3G14930%09red/ath:AT4G18480%09red/ath:AT4G37000%09red/ath:AT2G26540%09red/ath:AT4G01690%09red/ath:AT5G45930%09red/ath:AT3G56940%09red/ath:AT5G08280%09red/ath:AT5G13630%09red/ath:AT1G03630%09red/ath:AT5G04900%09red/ath:AT2G30390%09red
chlorophyllide a biosynthesis I (aerobic, light-dependent)	BioCyc	CHLOROPHYLL-SYN	7	15	0.000485919376523	0.0221662186682	820722|839009|824861|827580|831207|827991|834633	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=CHLOROPHYLL-SYN
starch degradation II	BioCyc	PWY-6724	7	16	0.000657544380598	0.0221662186682	828547|839531|826481|836609|836608|824383|827419	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6724
superpathway of carotenoid biosynthesis	BioCyc	CAROTENOID-PWY	7	16	0.000657544380598	0.0221662186682	842152|836838|831587|823942|818135|835806|835334	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=CAROTENOID-PWY
starch biosynthesis	BioCyc	PWY-622	9	28	0.000711441610319	0.0221662186682	840184|818212|832042|839531|826481|822590|832497|823850|816697	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-622
Starch and sucrose metabolism	KEGG PATHWAY	ath00500	25	188	0.000733991672459	0.0221662186682	817847|842478|836609|821499|822590|837777|816697|839660|818212|816753|830368|827419|826855|823850|834883|832042|819728|835220|841088|830056|825450|832497|844194|842961|821333	http://www.genome.jp/kegg-bin/show_pathway?ath00500/ath:AT1G45191%09red/ath:AT1G61810%09red/ath:AT2G32860%09red/ath:AT3G62750%09red/ath:AT3G18080%09red/ath:AT1G66430%09red/ath:AT1G27680%09red/ath:AT3G05620%09red/ath:AT5G04885%09red/ath:AT1G12240%09red/ath:AT5G51460%09red/ath:AT2G36390%09red/ath:AT4G17090%09red/ath:AT5G24300%09red/ath:AT3G46970%09red/ath:AT4G12430%09red/ath:AT3G29320%09red/ath:AT4G39010%09red/ath:AT5G64860%09red/ath:AT5G48300%09red/ath:AT1G78580%09red/ath:AT2G22190%09red/ath:AT2G21590%09red/ath:AT5G19220%09red/ath:AT3G19620%09red
